capa,campo,etiqueta
gmu2010,GMU2010,Grado de marginación
agebs_2010,GRAPROES,Grado promedio de escolaridad
agebs_2011,POBTOT,Población total (habitantes)
agebs_2012,PCON_LIM,Número de personas con alguna discapacidad
agebs_2013,PY3M_HLI,Número de personas que habla alguna lengua indígena
agebs_2014,PDER_SS,Número de personas con acceso a servicios de salud
agebs_2015,POBTOT_HA,Densidad poblacional (hab/ha)
agebs_2016,PEA,PEA
agebs_2017,RZN_DEP_EC,Grado de dependencia económica
agebs_2018,RZN_DEP__1,Grado de dependencia económica
usaer,CVE_ESC,Clave escolar
usaer,NOMBRE,Nombre
usaer,NUM,Número
usaer,DOMICILIO,Domicilio
usaer,COL,Colonia
cam,CVE_ESC,Clave escolar
cam,NOMBRE,Nombre
cam,DOMICILIO,Domicilio
cam,COL,Colonia
cam,AULA_EXIST,Aulas
preescolar,CVE_ESC,Clave escolar
preescolar,NOMBRE,Nombre
preescolar,DOMICILIO,Domicilio
preescolar,COL,Colonia
preescolar,SOST,Sostenimiento
preescolar,UBS,Aulas
primaria,CVE_ESC,Clave escolar
primaria,NOMBRE,Nombre
primaria,DOMICILIO,Domicilio
primaria,COL,Colonia
primaria,SOST,Sostenimiento
primaria,UBS,Aulas
secundaria,CVE_ESC,Clave escolar
secundaria,NOMBRE,Nombre
secundaria,DOMICILIO,Domicilio
secundaria,COL,Colonia
secundaria,SOST,Sostenimiento
secundaria,UBS,Aulas
cap_trab,CVE_ESC,Clave escolar
cap_trab,NOMBRE,Nombre
cap_trab,DOMICILIO,Domicilio
cap_trab,COL,Colonia
cap_trab,AULA,Aulas
cap_trab,TALLER,Talleres
bach_abierto,CVE_ESC,Clave escolar
bach_abierto,NOMBRE,Nombre
bach_abierto,MODAL,Modalidad
bach_abierto,DOMICILIO,Domicilio
bach_abierto,COL,Colonia
bach_abierto,SOST,Sostenimiento
bach_abierto,UBS,Aulas
bach_gral_tec,CVE_ESC,Clave escolar
bach_gral_tec,NOMBRE,Nombre
bach_gral_tec,MODAL,Modalidad
bach_gral_tec,DOMICILIO,Domicilio
bach_gral_tec,COL,Colonia
bach_gral_tec,SOST,Sostenimiento
bach_gral_tec,UBS,Aulas
universidad,CVE_INST,Clave de la institución
universidad,INST,Institución
universidad,CVE_ESC,Clave escolar
universidad,NOMBRE,Nombre de la escuela
universidad,DOMICILIO,Domicilio
universidad,COL,Colonia
universidad,SOST,Sostenimiento
universidad,UBS,Aulas
cultura,TIPO,Tipo
cultura,NOMBRE,Nombre
cultura,DIRECCION,Dirección
cultura,COL,Colonia
cultura,UBS,Unidad básica de servicio (UBS)
cultura,DESC_UBS,Tipo de UBS
salud,NOMBRE,Nombre
salud,TIPO,Tipo
salud,DIRECCION,Dirección
salud,COL,Colonia
salud,UBS,Unidad básica de servicio (UBS)
salud,DESC_UBS,Tipo de UBS
asist_social,NOMBRE,Nombre
asist_social,INST,Sostenimiento
asist_social,TIPO,Tipo
asist_social,DIRECCION,Dirección
asist_social,COL,Colonia
asist_social,UBS,Unidad básica de servicio (UBS)
asist_social,DESC_UBS,Tipo de UBS
farmacia,NOMBRE,Nombre
farmacia,TIPO,Tipo
farmacia,DIRECCION,Dirección
farmacia,COL,Colonia
farmacia,INST,Sostenimiento
tda_ctro_com,NOMBRE,Nombre
tda_ctro_com,TIPO,Tipo
tda_ctro_com,DIRECCION,Dirección
tda_ctro_com,COL,Colonia
tda_ctro_com,INST,Sostenimiento
tianguis,NOMBRE,Nombre
tianguis,TIPO,Tipo
tianguis,DIRECCION,Dirección
tianguis,COL,Colonia
tianguis,INST,Sostenimiento
abarrote_tda_autoserv,nom_estab,Nombre
merc_sobreruedas,COLONIA,Colonia
merc_sobreruedas,UBICACION,Ubicación
merc_sobreruedas,OFERENTES,Oferentes
merc_sobreruedas,AGRUPACION,Agrupación
abasto,NOMBRE,Nombre
abasto,TIPO,Tipo
abasto,DIRECCION,Dirección
abasto,COL,Colonia
abasto,INST,Sostenimiento
comunicacion,TIPO,Tipo
comunicacion,NOMBRE,Nombre
comunicacion,DIRECCION,Dirección
comunicacion,COLONIA,Colonia
comunicacion,UBS,Unidad básica de servicio (UBS)
comunicacion,DESC_UBS,Tipo de UBS
transporte,TIPO,Tipo
transporte,NOMBRE,Nombre
transporte,DIRECCION,Dirección
transporte,COLONIA,Colonia
rec_espect,TIPO,Tipo
rec_espect,NOMBRE,Nombre
rec_espect,DIRECCION,Dirección
rec_espect,COLONIA,Colonia
rec_espect,UBS,Unidad básica de servicio (UBS)
rec_espect,DESC_UBS,Tipo de UBS
area_verde,TIPO,Tipo
area_verde,NOMBRE,Nombre
area_verde,DIRECCION,Dirección
area_verde,COLONIA,Colonia
area_verde,UBS,Unidad básica de servicio (UBS)
area_verde,DESC_UBS,Tipo de UBS
deporte,TIPO,Tipo
deporte,NOMBRE,Nombre
deporte,DIRECCION,Dirección
deporte,COLONIA,Colonia
deporte,UBS,Unidad básica de servicio (UBS)
deporte,DESC_UBS,Tipo de UBS
admon_pub,raz_social,Razón Social
admon_pub,NOMBRE,Nombre
admon_pub,DIRECCION,Dirección
admon_pub,COLONIA,Colonia
admon_pub,TIPO,Tipo
serv_urb,NOMBRE,Nombre
serv_urb,DIRECCION,Dirección
serv_urb,COLONIA,Colonia
serv_urb,TIPO,Tipo
serv_urb,UBS,Unidad básica de servicio (UBS)
serv_urb,DESCRIP_UB,Tipo de UBS
hidrantes,ESTADO,Estado
planta_pot,PLANTA_POT,Número de planta
planta_pot,CAP_LS,Capacidad (LPS)
zonas_cespm,ID,Número de zona
red_ppal_ap,MATERIAL,Material
red_ppal_ap,CONSTRUCCI,Año de construcción
red_ppal_ap,VIDAUTIL,Vida útil
red_ppal_ap,DIAM_INCH,Diámetro
red_ppal_ap,LONGITUD,Longitud (m)
cob_potable,,
ptar_cespm,PLANTA,Planta
ptar_cespm,DIRECCION,Dirección
ptar_cespm,LAG_AIRADA,Laguna aireada
ptar_cespm,LAG_SEDIM,Laguna de sedimentación
ptar_cespm,LAG_FACULT,Laguna facultativa
ptar_cespm,LAG_MAD,Laguna de maduración
ptar_cespm,CAP_LPS,Capacidad (LPS)
ptar_lodos_act,UBICACION,Planta
ptar_lodos_act,CAP_LPS,Capacidad (LPS)
sist_bomb,TIPO,Tipo
sist_bomb,NOMBRE,Nombre
sist_bomb,DIRECCION,Dirección
sist_bomb,EQUIPOS,Equipos
sist_bomb,BOMBAS,Tipo de bombas
sist_bomb,CAP_HP,Capacidad (HP)
sist_bomb,GEN_ELECT,Generador eléctrico
red_ppal_as,MATERIAL,Material
red_ppal_as,CONSTRUCCI,Año de construcción
red_ppal_as,VIDAUTIL,Vida útil
red_ppal_as,DIAMETRO,Diámetro
red_ppal_as,CONDUCCION,Conducción
red_ppal_as,LONGITUD,Longitud (m)
red_ppal_as,ANO_VIDA,Años de vida
red_ppal_as,REST_VIDA,Vida restante (años)
cob_sanitario,,
carc_pluvial,NOMBRE,Nombre
carc_pluvial,DIRECCION,Dirección
carc_pluvial,EQUIPOS,Equipos
carc_pluvial,BOMBAS,Tipo de bombas
carc_pluvial,CAP_HP,Capacidad (HP)
carc_pluvial,GEN_ELECT,Generador eléctrico
red_ppal_pluvial,MATERIAL,Material
red_ppal_pluvial,DIAMETRO,Diámetro
red_ppal_pluvial,CONSTRUCCI,Año de construcción
red_ppal_pluvial,VIDAUTIL,Años de vida
red_ppal_pluvial,LONGITUD,Longitud (m)
dren_cubierto,NOMBRE,Nombre
dren_abierto,TIPO,Tipo
dren_abierto,NOMBRE,Nombre
dren_abierto,MODULO,Módulo de riego
canal_ppal,SUBTIPO,Subtipo
canal_ppal,NOMBRE,Nombre
canal_ppal,MODULO,Módulo de riego
canal_lat,SUBTIPO,Subtipo
canal_lat,NOMBRE,Nombre
canal_lat,MODULO,Módulo de riego
subestacion_elect,Nombre,Nmobre
subestacion_elect,Cap_MW,Capacidad (MW)
subestacion_elect,Direccion,Dirección
linea_elect_at,Name,Nombre
cob_alum_pub,alum,Alumbrado público
red_gas_nat,MATERIAL,Material
red_gas_nat,DIAM_PULG,Longitud (pulgadas)
red_gas_nat,LONG_KM,Longitud (km)
cob_gas_nat,SUP_HA,Superficie (ha)
usuario_ind_gas,NOMBRE,Nombre
usuario_resid_gas,COLONIAS,Colonia o fraccionamiento
usuario_resid_gas,CVE_COL,Clave de colonia o fraccionamiento
unidad_rem_linea,CVE_CAT,Clave catastral
sitio_wifi,NOMBRE_VIA,Dirección
sitio_wifi,NUM_EXT,Número
sitio_wifi,CVE_CENTRO,Clave del centro
sitio_wifi,NOM_CENTRO,Nombre del centro
sitio_wifi,DEPENDENCI,Dependencia encargada
sitio_wifi,NOMENCLATU,Tipo de centro
antena_telecom,,
cab_telefono,,
nodo_vial,JERARQUIA,Jerarquía
nodo_vial,ESTATUS,Estatus
evial_actual,NOMBRE,Nombre de la vialidad
evial_actual,Acotamient,Acotamiento
evial_actual,JERARQUIA,Jerarquía
evial_actual,CARRILES,Carriles
evial_actual,ADMINISTRA,Administración
evial_actual,CLASIFICA,Clasificación
evial_actual,VELOCIDAD,Límite de velocidad
evial_actual,SECCION,Sección
edo_fis_evial_ppal,ESTADO,Estado
edo_fis_evial_ppal,NOMBRE,Nombre
edo_fis_evial_ppal,JERARQUIA,Jerarquía
edo_fis_evial_ppal,LONG_KM,Longitud (km)
cob_pavimento,DIRECCION,Vialidad
cob_pavimento,PAVIMENTO,Cobertura de pavimento
cob_pavimento,LONG_KM,Longitud (km)
par_vial,long_km,Longitud (km)
par_vial,sentido,Sentido
par_vial,NOMV,Nombre de la vialidad
par_vial,JERQ,Jerarquía
par_vial,ESTADO,Estado
cruc_semaforo,CENTRALIZA,Centralizado
cruc_semaforo,CAMARA,Cámara
cruc_semaforo,VIDEO_DETE,Videodetección
alto_disco,JERARQUIA,Jerarquía
accident_vial,ICOUNT,Número de accidentes
zona_trans_rest,COLONIAS,Colonia o fraccionamiento
zona_trans_rest,CVE_COL,Clave de la colonia o fraccionamiento
zona_trans_rest,SUP_HA,Superficie (ha)
ruta_ciclovia,NOM_VIAL,Nombre de la vialidad
ruta_ciclovia,LONG_KM,Longutud (km)
ruta_ciclovia,estado,Estado
ruta_ciclovia,Ciclo_Etap,Etapa
ruta_ciclovia,ACOTA,Acotamiento
ruta_ciclovia,CARRIL,Carriles
ruta_ciclovia,alum,Alumbrado público
ruta_ciclovia,ESTACIO,Estacionamiento
ruta_ciclovia,SECC_VIAL,Sección vial
ruta_ciclovia,PAV,Cobertura de pavimentación
ruta_autobus,CVE_RUTA,Clave de la ruta
ruta_autobus,CONSESION,Consesión
ruta_autobus,ALIAS,Alias
ruta_autobus,P_VEHIC_OP,Parque vehicular operando
ruta_autobus,FREC_MIN,Frecuencia (min)
ruta_autobus,UBICACION,Ubicación
ruta_autobus,PROM_REC_M,Tiempo promedio de recorrido (min)
ruta_autobus,RUTA,Ruta
cob_autobus,,
base_radiotaxi,BASE,Base
base_radiotaxi,NOMBRE,Nombre
base_radiotaxi,DOMICILIO,Domicilio
sitio_taxi,SITIO,Sitio
sitio_taxi,NOMBRE,Nombre
sitio_taxi,DOMICILIO,Domicilio
ruta_taxi,RUTA,Ruta
ruta_taxi,FRANJA,Franja
ruta_taxi,NOMBRE,Nombre
ruta_taxi,TRAYECTO,Trayecto
cob_taxi,,
crec_hist,PERIODO,Periodo
uso_suelo_actual,USO_ACTUAL,Uso de suelo actual
uso_suelo_actual,h,Habitacional
uso_suelo_actual,cs,Comercio y servicio
uso_suelo_actual,i,Industria
uso_suelo_actual,m,"Mixto (habitacional, comercio y servicios)"
uso_suelo_actual,mci,"Mixto (industria, comercio y servicios)"
uso_suelo_actual,ia,Infraestructura
uso_suelo_actual,as,Almacenamiento y servicios
uso_suelo_actual,e,Equipamiento
uso_suelo_actual,cu,Corredor urbano
uso_suelo_actual,bu,Baldío urbanizado
uso_suelo_actual,bnu,Baldío no urbanizado
uso_suelo_actual,as,Agrícola
uso_suelo_actual,aev,Equipamiento (área verde)
parque_zona_ind,TIPO,Tipo
parque_zona_ind,NOMBRE,Nombre
parque_zona_ind,SUP_HA,Superficie (ha)
baldios,ClaveCatas,Clave catastral
baldios,Superficie,Superficie (m²)
tenen_tierra,ClaveCatas,Clave catastral
